Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776956063,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776956064,10,,Aggregated,0.000000,0.000000,440,600,660,700,740,750,750,750,750,750,750,20,0,220.0,382.3826787496728,70.04840899935516,751.8027000005532,2082.7
1776956065,20,,Aggregated,0.000000,0.000000,220,510,550,590,660,720,750,750,750,750,750,41,0,220.0,338.66423521927885,7.132459999411367,751.8027000005532,2090.268292682927
1776956066,30,,Aggregated,0.000000,0.000000,190,440,490,530,610,700,740,750,750,750,750,65,0,190.0,297.58104769204624,5.468004999784171,751.8027000005532,2059.9538461538464
1776956067,40,,Aggregated,20.500000,0.000000,150,400,460,490,560,630,720,740,750,750,750,101,0,150.0,257.0557258315404,5.468004999784171,751.8027000005532,2128.168316831683
1776956068,50,,Aggregated,21.666667,0.000000,140,400,470,510,600,690,730,740,750,750,750,138,0,130.0,250.56436232594223,5.468004999784171,751.8027000005532,2087.7391304347825
1776956069,50,,Aggregated,25.000000,0.000000,120,210,450,490,570,670,720,740,750,750,750,158,0,120.0,223.27148277201582,5.468004999784171,751.8027000005532,2065.4367088607596
1776956070,50,,Aggregated,26.800000,0.000000,100,160,400,460,560,640,720,740,750,750,750,182,0,100.0,197.0795633900067,5.197832000703784,751.8027000005532,2083.4725274725274
1776956071,50,,Aggregated,26.166667,0.000000,93,150,320,430,550,630,710,730,750,750,750,211,0,93,178.84819803782594,5.197832000703784,751.8027000005532,2086.265402843602
1776956072,50,,Aggregated,25.857143,0.000000,84,140,200,390,540,610,710,730,750,750,750,236,0,82,165.24224495332558,5.197832000703784,751.8027000005532,2106.906779661017
1776956073,50,,Aggregated,26.125000,0.000000,77,130,170,320,530,610,700,730,750,750,750,257,0,77,155.6028399454696,5.197832000703784,751.8027000005532,2110.466926070039
1776956074,50,,Aggregated,26.125000,0.000000,79,130,170,210,510,600,700,730,750,750,750,278,0,77,150.45243941721893,5.197832000703784,751.8027000005532,2085.9244604316546
1776956075,50,,Aggregated,25.500000,0.000000,74,130,160,200,490,570,690,720,750,750,750,304,0,74,142.01010937163,5.197832000703784,751.8027000005532,2061.4177631578946
1776956076,50,,Aggregated,25.800000,0.000000,67,120,150,180,480,570,690,720,750,750,750,328,0,66,134.56481885663845,5.197832000703784,751.8027000005532,2061.6006097560976
1776956077,50,,Aggregated,26.200000,0.000000,48,110,140,170,460,560,670,720,750,750,750,358,0,46,125.35255760329103,4.041419000714086,751.8027000005532,2070.2988826815645
1776956076,50,,Aggregated,25.800000,0.000000,37,100,130,160,450,560,670,720,750,750,750,383,0,37,119.69518354823585,4.041419000714086,751.8027000005532,2047.9869451697127
1776956077,50,,Aggregated,26.200000,0.000000,21,99,130,150,440,550,660,710,750,750,750,407,0,21,114.16311503433091,4.041419000714086,751.8027000005532,2045.963144963145
1776956078,50,,Aggregated,26.100000,0.000000,20,96,120,140,420,550,660,710,750,750,750,433,0,20,109.48311322164417,4.041419000714086,751.8027000005532,2035.729792147806
1776956079,50,,Aggregated,26.400000,0.000000,18,93,120,140,400,540,640,710,750,750,750,462,0,18,105.27113757136831,4.041419000714086,751.8027000005532,2045.1709956709956
1776956080,50,,Aggregated,28.000000,0.000000,16,90,120,130,370,540,640,710,750,750,750,485,0,16,101.69389862056369,4.041419000714086,751.8027000005532,2051.907216494845
1776956081,50,,Aggregated,28.400000,0.000000,14,85,110,130,370,530,630,700,750,750,750,508,0,14,98.13454349011057,3.5938270011683926,751.8027000005532,2053.3602362204724
1776956082,50,,Aggregated,28.800000,0.000000,13,85,110,130,220,520,630,700,750,750,750,537,0,13,95.54001661075189,3.5938270011683926,751.8027000005532,2029.9664804469273
1776956083,50,,Aggregated,28.400000,0.000000,13,85,110,130,210,510,610,700,750,750,750,558,0,13,93.81397545156912,3.5938270011683926,751.8027000005532,1998.0340501792114
1776956084,50,,Aggregated,28.100000,0.000000,12,82,110,130,200,490,610,700,750,750,750,581,0,12,90.9932692237114,3.5938270011683926,751.8027000005532,2008.5301204819277
1776956085,50,,Aggregated,28.700000,0.000000,12,84,110,120,200,490,610,690,750,750,750,608,0,11,89.14339197529468,3.5938270011683926,751.8027000005532,1996.6299342105262
1776956086,50,,Aggregated,28.500000,0.000000,11,82,110,120,200,490,610,690,750,750,750,635,0,11,87.85929295744444,3.5938270011683926,751.8027000005532,2003.1181102362204
1776956087,50,,Aggregated,28.800000,0.000000,11,81,110,120,190,480,600,690,750,750,750,657,0,11,85.88435103497964,3.5938270011683926,751.8027000005532,1993.0395738203958
1776956088,50,,Aggregated,28.400000,0.000000,11,80,100,120,180,470,600,690,750,750,750,682,0,11,83.59333654248329,3.5938270011683926,751.8027000005532,1996.6173020527858
